DirectorID,DirectorName,MovieCount,Director_AvgRating
nm7635529,Simon Godwin,4,8.3
nm0613109,David Munro,4,8.3
nm5975638,Zachary Barr,3,8.3
nm4483474,Fahad Mustafa,3,8.3
nm3342667,Laura Waters Hinson,3,8.3
nm0997425,Ermalo Magradze,4,8.3
nm0994500,Nicol??s Batlle,4,8.3
nm1035818,Michael P. Nash,3,8.3
nm0946846,Yatrik,6,8.3
nm0609386,James E. Motluk,7,8.285714286
nm1580459,Federico Micali,6,8.283333333
nm0156981,S. Leo Chiang,5,8.28
nm2002677,Dieter K??ster,7,8.271428571
nm0412676,G.V. Iyer,10,8.27
nm0735474,Phillip Rodriguez,3,8.266666667
nm3012141,Chu Wen,3,8.266666667
nm5165653,Khashayar Mostafavi,3,8.266666667
nm3561473,Susan Polis Schutz,3,8.266666667
nm1355730,Bret Lowell,3,8.266666667
nm1000358,Narayana B.S.,3,8.266666667
nm2447482,Neal Hutcheson,3,8.266666667
nm1069818,Cahangir Mehdiyev,3,8.266666667
nm0242086,Robert A. Duncan,3,8.266666667
nm0482321,S.D. Lal,8,8.2625
nm1076642,Abby Ginzberg,5,8.26
nm1135188,Alisattar Atakishiyev,5,8.26
nm0660537,G??bor Zsigmond Papp,7,8.257142857
nm2765738,Marianne Elliott,4,8.25
nm8120704,Dependra K. Khanal,4,8.25
nm1006692,Dick Carruthers,9,8.244444444
nm0714762,Kadiri Venkata Reddy,13,8.238461538
nm0080258,Bhargava,8,8.2375
nm0196186,Armando da Silva Brand??o,3,8.233333333
nm2290174,Eric Daniel Metzgar,3,8.233333333
nm0722525,Scott Rhodes,3,8.233333333
nm2902565,Nicola Caulfield,3,8.233333333
nm2636610,Anthony Caulfield,3,8.233333333
nm1339693,Jorge Pelicano,3,8.233333333
nm0673912,Damian Perkins,3,8.233333333
nm0303212,Scott Galloway,3,8.233333333
nm0386246,Rajkumar Hirani,4,8.225
nm0411259,Morshedul Islam,9,8.222222222
nm0659849,B. Ramakrishnaiah Panthulu,20,8.22
